claim_id,state,district,village,latitude,longitude,claim_geometry_id,claim_type,rights_subtype,submission_date,current_stage,last_updated_date,status,gram_sabha_date,sdlc_date,dlc_date,decision_date,pending_reason,gram_sabha_recommendation,sdlc_recommendation,remand_count,last_remand_reason,evidence_types,rejection_reason,appeal_status,appeal_date,claimed_area_ha,forest_record_area_ha,revenue_record_area_ha,forest_overlap_pct,protected_area_type,protected_area_overlap_pct,cfr_map_available,gram_sabha_resolution_date,assigned_unit_id,verification_visit_count,applicant_hash,estimated_eligible_households,forest_dependent_households,village_forest_area_ha,title_copy_delivered_date,linked_schemes
FRA-0013626,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.653265,86.224322,GEO-0013626,Individual,IFR,2024-07-28,Title Issued,2025-02-06,Approved,2024-09-03,2024-10-01,2024-12-06,2024-12-31,,Recommended,Recommended,0,,Revenue record; Legacy residence/cultivation record; Community testimony,,Not Applicable,,1.93,2.07,2.08,76.9,Conservation Reserve,84.9,,,FRA-JH-016,0,50B8B8245FCD,451,240,1194.9,,PMAY-G
FRA-0013627,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.690395,86.211935,GEO-0013627,Community,Community Forest Resource,2026-06-06,SDLC,2026-07-25,Pending,2026-07-01,2026-07-25,,,Awaiting Gram Sabha verification,Recommended,Recommended,0,,Physical boundary markers; Community testimony; Legacy residence/cultivation record; Forest record,,Not Applicable,,247.38,256.63,116.13,87.2,,,No,2026-07-19,FRA-JH-016,2,241679BD5D98,465,404,479.6,,
FRA-0013628,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.664945,86.206016,GEO-0013628,Individual,IFR,2025-07-02,Title Issued,2026-01-20,Approved,2025-10-05,2025-11-05,2025-12-08,2026-01-06,,Recommended,Not Recommended,0,,Revenue record; Government map; Satellite imagery; Gram Sabha testimony; Forest record,,Not Applicable,,1.38,1.28,1.32,83.1,,,,,FRA-JH-016,3,A04AFB15DCE1,451,240,1194.9,2026-03-17,NRLM
FRA-0013629,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.563883,86.432342,GEO-0013629,Individual,IFR,2025-09-02,DLC Decision,2026-01-30,Rejected,2025-10-13,2025-11-20,2026-01-13,2026-01-22,,Recommended,Recommended,0,,Gram Sabha testimony; Satellite imagery; Legacy residence/cultivation record,Insufficient evidence,Under Review,2026-04-02,0.82,0.87,0.78,25.1,,,,,FRA-JH-016,1,E33028BCA8B1,330,258,233.9,,
FRA-0013630,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.69946,86.215817,GEO-0013630,Individual,IFR,2025-09-19,Title Issued,2026-02-24,Approved,2025-09-30,2025-11-24,2026-01-04,2026-02-01,,Not Recommended,Not Recommended,0,,Physical boundary markers; Community testimony; Government map; Satellite imagery,,Not Applicable,,2.09,1.92,1.94,79.9,,,,,FRA-JH-016,3,2CD37E964C4F,465,404,479.6,2026-05-29,NRLM
FRA-0013631,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.710692,86.221731,GEO-0013631,Individual,IFR,2026-03-21,Title Issued,2026-09-04,Approved,2026-06-22,2026-08-29,2026-09-01,2026-09-04,,Recommended,Recommended,1,Gram Sabha reconsideration,Physical boundary markers; Legacy residence/cultivation record; Forest record,,Not Applicable,,0.78,0.86,0.75,87.9,,,,,FRA-JH-016,2,4D9A96E413E2,465,404,479.6,2026-09-04,MGNREGA; PDS convergence; Tribal Livelihood Support
FRA-0013632,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.561716,86.439788,GEO-0013632,Individual,IFR,2024-11-25,Title Issued,2025-09-06,Approved,2025-01-17,2025-05-12,2025-08-28,2025-08-31,,Recommended,Recommended,0,,Forest record; Revenue record; Community testimony,,Not Applicable,,0.86,0.83,0.93,79.1,,,,,FRA-JH-016,2,E91977D89475,330,258,233.9,2025-11-16,
FRA-0013633,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.646215,86.208685,GEO-0013633,Individual,IFR,2026-06-26,Field Verification,2026-08-09,Pending,2026-07-03,2026-08-09,,,Field verification pending,Not Recommended,Not Recommended,0,,Government map; Revenue record,,Not Applicable,,0.99,1.06,1.7,89.4,,,,,FRA-JH-016,1,CFC3242F97AA,451,240,1194.9,,
FRA-0013634,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.574729,86.157144,GEO-0013634,Individual,IFR,2025-08-21,SDLC,2026-08-22,Pending,2025-09-13,2025-12-26,,,Boundary verification pending,Recommended,Recommended,0,,Revenue record; Gram Sabha testimony; Legacy residence/cultivation record; Forest record; Satellite imagery,,Not Applicable,,1.51,2.04,1.53,97.1,,,,,FRA-JH-016,3,583131587011,923,799,659.5,,
FRA-0013635,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.556424,86.435322,GEO-0013635,Individual,IFR,2025-10-12,DLC Decision,2026-06-12,Rejected,2026-01-05,2026-04-02,2026-05-04,2026-05-28,,Recommended,Recommended,1,Procedural correction,Revenue record; Satellite imagery; Community testimony; Legacy residence/cultivation record,Overlapping/duplicate claim,Under Review,2026-07-09,1.26,1.13,1.35,86.0,,,,,FRA-JH-016,2,77CF498899C0,330,258,233.9,,
FRA-0013636,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.563368,86.450265,GEO-0013636,Individual,IFR,2022-10-28,DLC Decision,2023-11-03,Rejected,2023-01-16,2023-06-14,2023-08-31,2023-09-25,,Recommended,Recommended,1,Procedural correction,Community testimony; Legacy residence/cultivation record,Boundary discrepancy,Under Review,2023-12-02,0.97,1.0,0.62,89.7,,,,,FRA-JH-016,2,77CF498899C0,330,258,233.9,,
FRA-0013637,Jharkhand,Lohardaga,FRA-JH-016-Village-09,23.065744,86.291326,GEO-0013637,Individual,IFR,2025-04-10,Title Issued,2025-12-05,Approved,2025-04-19,2025-06-16,2025-11-14,2025-11-20,,Recommended,Recommended,0,,Government map; Physical boundary markers,,Not Applicable,,0.81,0.82,0.83,93.3,,,,,FRA-JH-016,1,8708A78B1E22,453,372,1237.8,2026-01-19,
FRA-0013638,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.66499,86.224048,GEO-0013638,Individual,IFR,2024-10-10,Title Issued,2025-08-09,Approved,2024-11-13,2025-02-23,2025-07-02,2025-07-23,,Recommended,Needs Review,0,,Government map; Community testimony,,Not Applicable,,1.53,1.41,1.64,86.5,,,,,FRA-JH-016,4,6F15694E26B6,451,240,1194.9,2025-08-27,MGNREGA
FRA-0013639,Jharkhand,Lohardaga,FRA-JH-016-Village-09,23.067022,86.276112,GEO-0013639,Individual,IFR,2021-03-06,Title Issued,2021-10-25,Approved,2021-05-11,2021-06-07,2021-09-08,2021-09-10,,Recommended,Recommended,0,,Satellite imagery; Forest record,,Not Applicable,,1.13,1.06,0.66,90.7,,,,,FRA-JH-016,1,FDC4175B85B2,453,372,1237.8,2021-10-28,NRLM; PDS convergence
FRA-0013640,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.560705,86.157486,GEO-0013640,Individual,IFR,2024-04-25,Title Issued,2024-12-09,Approved,2024-06-30,2024-10-26,2024-11-27,2024-11-29,,Needs Review,Needs Review,0,,Satellite imagery; Forest record,,Not Applicable,,1.1,1.55,1.04,93.8,National Park,12.8,,,FRA-JH-016,2,4953D44DE3FC,923,799,659.5,2025-03-06,NRLM
FRA-0013641,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.574757,86.411229,GEO-0013641,Individual,IFR,2023-10-29,DLC Decision,2024-05-31,Rejected,2023-11-24,2023-12-28,2024-04-27,2024-05-20,,Recommended,Recommended,1,Procedural correction,Forest record; Legacy residence/cultivation record,Procedural deficiency,Not Appealed,,1.93,1.97,2.12,82.6,,,,,FRA-JH-016,4,35DCAE9BE5C3,239,214,918.6,,
FRA-0013642,Jharkhand,Lohardaga,FRA-JH-016-Village-10,23.029147,86.397704,GEO-0013642,Community,Minor Forest Produce,2025-02-05,Title Issued,2025-09-07,Approved,2025-03-27,2025-04-21,2025-07-30,2025-08-27,,Needs Review,Recommended,0,,Gram Sabha testimony,,Not Applicable,,259.23,234.15,237.46,89.2,,,,,FRA-JH-016,1,C5D874BCD2F3,125,105,699.4,2025-10-07,
FRA-0013643,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.551918,86.141267,GEO-0013643,Individual,IFR,2021-11-29,Title Issued,2022-10-24,Approved,2022-02-17,2022-04-08,2022-09-16,2022-10-12,,Recommended,Recommended,0,,Satellite imagery; Community testimony; Gram Sabha testimony,,Not Applicable,,0.98,1.01,0.96,84.2,,,,,FRA-JH-016,3,77E873DC19F4,923,799,659.5,2023-01-31,NRLM
FRA-0013644,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.632866,86.359533,GEO-0013644,Individual,IFR,2024-10-31,DLC Decision,2025-05-18,Rejected,2024-11-20,2025-03-13,2025-04-19,2025-05-03,,Recommended,Needs Review,1,Land-record reconciliation,Physical boundary markers; Satellite imagery,Eligibility period not established,Disposed - Rejection Upheld,2025-08-17,0.86,0.88,0.77,19.0,Wildlife Sanctuary,62.3,,,FRA-JH-016,4,6802E906B22F,614,208,532.2,,
FRA-0013645,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.561278,86.414128,GEO-0013645,Community,Community Rights,2022-12-26,Title Issued,2023-12-16,Approved,2023-02-04,2023-06-29,2023-11-13,2023-11-29,,Recommended,Recommended,0,,Community testimony; Government map,,Not Applicable,,8.62,9.24,8.53,12.3,,,,,FRA-JH-016,2,7379D038C9A6,239,214,918.6,2023-12-22,
FRA-0013646,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.586672,86.393266,GEO-0013646,Community,Grazing Rights,2024-07-12,Title Issued,2025-08-22,Approved,2024-09-13,2025-02-04,2025-06-17,2025-07-16,,Recommended,Recommended,0,,Legacy residence/cultivation record; Community testimony; Physical boundary markers,,Not Applicable,,217.11,219.41,224.17,92.5,Tiger Reserve,85.7,,,FRA-JH-016,2,FEDE81B45108,239,214,918.6,,
FRA-0013647,Jharkhand,Lohardaga,FRA-JH-016-Village-11,23.053591,86.141423,GEO-0013647,Individual,IFR,2022-12-10,DLC Decision,2023-10-12,Rejected,2023-02-09,2023-03-14,2023-09-08,2023-09-30,,Recommended,Not Recommended,0,,Government map; Forest record; Community testimony; Satellite imagery,Insufficient evidence,Appeal Filed,2023-12-02,0.92,0.97,0.91,79.6,,,,,FRA-JH-016,2,092A8D3B3707,537,485,826.6,,
FRA-0013648,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.71074,86.234998,GEO-0013648,Community,Community Forest Resource,2026-01-25,SDLC,2026-08-22,Pending,2026-02-15,2026-06-18,,,Additional evidence requested,Recommended,Recommended,0,,Gram Sabha testimony; Physical boundary markers; Legacy residence/cultivation record,,Not Applicable,,5000.0,4824.42,4979.5,89.6,,,Yes,2026-03-09,FRA-JH-016,1,DC0DA35DEE3F,465,404,479.6,,
FRA-0013649,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.684885,86.212228,GEO-0013649,Individual,IFR,2026-06-30,DLC,2026-09-01,Pending,2026-07-20,2026-09-01,,,Awaiting DLC decision,Recommended,Recommended,1,Procedural correction,Legacy residence/cultivation record; Revenue record; Forest record; Government map; Community testimony,,Not Applicable,,2.38,2.11,2.32,84.3,,,,,FRA-JH-016,2,451D9AE173C5,465,404,479.6,,
FRA-0013650,Jharkhand,Lohardaga,FRA-JH-016-Village-11,23.04347,86.129303,GEO-0013650,Community,Grazing Rights,2022-01-25,Title Issued,2022-08-28,Approved,2022-03-02,2022-05-24,2022-07-08,2022-07-27,,Needs Review,Needs Review,0,,Legacy residence/cultivation record; Revenue record; Community testimony; Physical boundary markers,,Not Applicable,,78.16,72.75,79.45,40.3,,,,,FRA-JH-016,2,FD47CC4E049A,537,485,826.6,2022-11-13,PDS convergence; PMAY-G
FRA-0013651,Jharkhand,Lohardaga,FRA-JH-016-Village-08,22.902135,86.086249,GEO-0013651,Individual,IFR,2021-01-23,Title Issued,2022-01-29,Approved,2021-03-28,2021-07-21,2022-01-15,2022-01-18,,Recommended,Recommended,0,,Revenue record; Government map,,Not Applicable,,0.95,1.04,0.98,90.3,,,,,FRA-JH-016,3,289CF15654C5,432,149,798.1,2022-03-29,
FRA-0013652,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.699897,86.207086,GEO-0013652,Individual,IFR,2023-03-12,Title Issued,2023-11-09,Approved,2023-06-04,2023-08-24,2023-09-29,2023-10-24,,Recommended,Not Recommended,0,,Forest record; Revenue record; Satellite imagery,,Not Applicable,,1.26,1.16,0.71,34.7,,,,,FRA-JH-016,1,E9B971658C78,465,404,479.6,2023-12-03,Tribal Livelihood Support
FRA-0013653,Jharkhand,Lohardaga,FRA-JH-016-Village-09,23.048236,86.290201,GEO-0013653,Individual,IFR,2024-03-02,Title Issued,2025-03-07,Approved,2024-04-07,2024-09-04,2025-01-17,2025-02-16,,Recommended,Recommended,0,,Legacy residence/cultivation record; Forest record; Physical boundary markers,,Not Applicable,,1.96,1.86,1.91,93.5,,,,,FRA-JH-016,3,EE7B12C21475,453,372,1237.8,2025-06-06,NRLM
FRA-0013654,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.579165,86.416138,GEO-0013654,Individual,IFR,2025-03-24,Title Issued,2026-05-06,Approved,2025-06-17,2025-11-06,2026-04-13,2026-04-17,,Recommended,Not Recommended,1,Land-record reconciliation,Forest record,,Not Applicable,,1.81,1.61,1.75,91.1,,,,,FRA-JH-016,2,A344AE681607,239,214,918.6,2026-07-22,NRLM; PDS convergence
FRA-0013655,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.717739,86.228956,GEO-0013655,Individual,IFR,2021-12-31,Title Issued,2022-07-08,Approved,2022-02-27,2022-04-04,2022-05-24,2022-06-09,,Not Recommended,Not Recommended,0,,Physical boundary markers; Satellite imagery; Community testimony; Government map,,Not Applicable,,0.76,0.78,0.8,17.2,,,,,FRA-JH-016,4,9920F26D7250,465,404,479.6,2022-10-01,PDS convergence
FRA-0013656,Jharkhand,Lohardaga,FRA-JH-016-Village-01,22.676162,85.949095,GEO-0013656,Individual,IFR,2023-10-24,Title Issued,2024-06-14,Approved,2023-11-18,2024-01-06,2024-04-13,2024-05-05,,Not Recommended,Needs Review,0,,Revenue record; Forest record; Government map; Legacy residence/cultivation record; Satellite imagery,,Not Applicable,,1.34,0.84,1.39,90.0,Wildlife Sanctuary,25.9,,,FRA-JH-016,2,7B4C43611DDB,119,61,87.2,2024-06-14,
FRA-0013657,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.581612,86.384678,GEO-0013657,Individual,IFR,2022-08-28,DLC Decision,2023-06-04,Rejected,2022-11-22,2023-02-19,2023-05-06,2023-05-29,,Recommended,Recommended,0,,Community testimony; Satellite imagery,Insufficient evidence,Not Appealed,,2.9,2.88,2.95,100.0,,,,,FRA-JH-016,3,5FB4A599D22B,239,214,918.6,,
FRA-0013658,Jharkhand,Lohardaga,FRA-JH-016-Village-01,22.671556,85.929402,GEO-0013658,Individual,IFR,2025-02-22,Title Issued,2025-11-07,Approved,2025-04-28,2025-07-26,2025-10-20,2025-10-25,,Recommended,Recommended,0,,Government map; Revenue record; Forest record,,Not Applicable,,1.09,0.96,1.76,19.1,,,,,FRA-JH-016,3,DE70943B20C0,119,61,87.2,2025-12-05,PDS convergence
FRA-0013659,Jharkhand,Lohardaga,FRA-JH-016-Village-01,22.688227,85.922088,GEO-0013659,Individual,IFR,2025-02-16,Title Issued,2025-09-29,Approved,2025-03-25,2025-06-17,2025-08-30,2025-09-08,,Recommended,Recommended,0,,Community testimony; Government map; Physical boundary markers; Gram Sabha testimony,,Not Applicable,,0.93,0.83,0.95,84.3,,,,,FRA-JH-016,2,A9A80652F63F,119,61,87.2,2025-10-11,Tribal Livelihood Support
FRA-0013660,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.563095,86.128371,GEO-0013660,Individual,IFR,2024-10-20,Title Issued,2025-07-05,Approved,2024-12-21,2025-02-27,2025-05-18,2025-06-17,,Recommended,Recommended,0,,Physical boundary markers; Gram Sabha testimony; Community testimony; Satellite imagery,,Not Applicable,,1.08,1.14,1.14,94.1,,,,,FRA-JH-016,2,ADAE92D69241,923,799,659.5,,
FRA-0013661,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.631028,86.22902,GEO-0013661,Individual,IFR,2025-03-28,Title Issued,2025-11-17,Approved,2025-06-28,2025-09-09,2025-09-30,2025-10-22,,Recommended,Recommended,1,Additional evidence requested,Government map; Legacy residence/cultivation record,,Not Applicable,,1.8,1.89,1.68,87.3,,,,,FRA-JH-016,2,6EECDC97FD8D,451,240,1194.9,,NRLM
FRA-0013662,Jharkhand,Lohardaga,FRA-JH-016-Village-01,22.676862,85.946881,GEO-0013662,Individual,IFR,2025-06-16,DLC Decision,2026-03-22,Rejected,2025-09-17,2025-10-22,2026-02-14,2026-02-14,,Not Recommended,Not Recommended,1,Gram Sabha reconsideration,Physical boundary markers; Community testimony; Forest record,Record inconsistency,Not Appealed,,1.21,0.72,1.23,97.7,,,,,FRA-JH-016,2,3060D272289E,119,61,87.2,,
FRA-0013663,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.566263,86.459775,GEO-0013663,Individual,IFR,2023-03-05,Title Issued,2023-12-04,Approved,2023-03-30,2023-05-05,2023-09-29,2023-10-22,,Recommended,Recommended,0,,Forest record; Government map; Gram Sabha testimony,,Not Applicable,,2.03,1.99,2.22,85.2,National Park,93.0,,,FRA-JH-016,3,8CB961316D2E,330,258,233.9,2023-10-30,MGNREGA; NRLM
FRA-0013664,Jharkhand,Lohardaga,FRA-JH-016-Village-01,22.686407,85.922067,GEO-0013664,Individual,IFR,2022-08-19,DLC Decision,2023-04-22,Rejected,2022-09-14,2022-11-23,2023-03-23,2023-04-01,,Recommended,Recommended,1,Gram Sabha reconsideration,Satellite imagery; Government map,Overlapping/duplicate claim,Not Appealed,,1.17,1.07,1.06,89.8,National Park,63.6,,,FRA-JH-016,1,D606C43C61D9,119,61,87.2,,
FRA-0013665,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.646945,86.228378,GEO-0013665,Individual,IFR,2025-04-12,DLC Decision,2025-07-20,Rejected,2025-04-19,2025-05-21,2025-06-18,2025-07-03,,Recommended,Recommended,0,,Physical boundary markers; Forest record; Government map,Insufficient evidence,Not Appealed,,1.62,1.62,1.52,89.6,,,,,FRA-JH-016,2,9478B7BB3E58,451,240,1194.9,,
FRA-0013666,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.711512,86.219318,GEO-0013666,Community,Community Forest Resource,2024-09-16,Title Issued,2025-06-14,Approved,2024-09-23,2025-01-06,2025-05-14,2025-06-02,,Recommended,Needs Review,0,,Physical boundary markers; Legacy residence/cultivation record; Government map; Satellite imagery,,Not Applicable,,540.41,359.67,495.37,84.8,,,Yes,2024-10-08,FRA-JH-016,3,6203FEBA2280,465,404,479.6,2025-09-01,NRLM
FRA-0013667,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.577474,86.385631,GEO-0013667,Individual,IFR,2023-01-10,Title Issued,2023-09-13,Approved,2023-01-23,2023-05-27,2023-07-31,2023-08-12,,Recommended,Needs Review,1,Boundary re-verification,Revenue record; Community testimony; Government map,,Not Applicable,,2.28,2.54,2.28,70.8,,,,,FRA-JH-016,3,4F73D4B829E6,239,214,918.6,2023-11-09,
FRA-0013668,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.643653,86.36127,GEO-0013668,Individual,IFR,2026-01-28,DLC,2026-08-30,Pending,2026-03-03,2026-07-22,,,Boundary verification pending,Recommended,Not Recommended,0,,Satellite imagery,,Not Applicable,,1.62,1.59,1.47,82.9,,,,,FRA-JH-016,2,983866A7C879,614,208,532.2,,
FRA-0013669,Jharkhand,Lohardaga,FRA-JH-016-Village-03,22.660434,86.228362,GEO-0013669,Individual,IFR,2023-12-05,DLC Decision,2024-11-03,Rejected,2024-02-15,2024-04-24,2024-09-30,2024-10-08,,Recommended,Recommended,2,Land-record reconciliation,Government map; Satellite imagery; Physical boundary markers,Eligibility period not established,Not Appealed,,0.63,0.57,0.67,87.4,,,,,FRA-JH-016,1,14775B871432,451,240,1194.9,,
FRA-0013670,Jharkhand,Lohardaga,FRA-JH-016-Village-11,23.040042,86.115227,GEO-0013670,Individual,IFR,2025-08-12,SDLC,2026-07-14,Pending,2025-09-28,2025-12-02,,,Land record reconciliation,Recommended,Recommended,0,,Government map; Community testimony,,Not Applicable,,1.1,1.17,1.18,92.7,Wildlife Sanctuary,94.7,,,FRA-JH-016,2,826640189335,537,485,826.6,,
FRA-0013671,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.56228,86.408875,GEO-0013671,Individual,IFR,2026-06-28,DLC Decision,2026-08-30,Rejected,2026-07-10,2026-07-26,2026-08-14,2026-08-22,,Needs Review,Pending,0,,Government map; Satellite imagery; Legacy residence/cultivation record; Community testimony,Overlapping/duplicate claim,Not Appealed,,3.98,3.78,3.72,98.5,Conservation Reserve,68.5,,,FRA-JH-016,4,5CD1A0A6B747,239,214,918.6,,
FRA-0013672,Jharkhand,Lohardaga,FRA-JH-016-Village-11,23.04832,86.116643,GEO-0013672,Individual,IFR,2025-04-19,Field Verification,2026-08-25,Pending,2025-05-26,2025-08-05,,,Awaiting DLC decision,Recommended,Recommended,0,,Physical boundary markers; Gram Sabha testimony; Satellite imagery,,Not Applicable,,2.14,1.14,1.97,95.1,,,,,FRA-JH-016,1,25A6D8FAB44F,537,485,826.6,,
FRA-0013673,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.643188,86.377366,GEO-0013673,Individual,IFR,2024-02-18,Title Issued,2025-01-21,Approved,2024-05-03,2024-08-08,2024-12-31,2025-01-16,,Recommended,Recommended,0,,Physical boundary markers; Gram Sabha testimony; Satellite imagery,,Not Applicable,,3.18,2.84,3.04,100.0,,,,,FRA-JH-016,2,BE4B20F5BC14,614,208,532.2,2025-02-05,NRLM
FRA-0013674,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.576109,86.133653,GEO-0013674,Individual,IFR,2025-07-05,Title Issued,2025-12-16,Approved,2025-09-16,2025-10-12,2025-11-05,2025-11-16,,Recommended,Recommended,0,,Satellite imagery,,Allowed,2025-08-11,3.34,3.47,3.18,98.2,,,,,FRA-JH-016,1,78BA8C83D10B,923,799,659.5,2026-02-10,NRLM; PMAY-G
FRA-0013675,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.569832,86.431561,GEO-0013675,Individual,IFR,2025-04-30,Title Issued,2026-04-06,Approved,2025-07-16,2025-10-24,2026-02-14,2026-02-26,,Needs Review,Recommended,0,,Physical boundary markers; Community testimony,,Not Applicable,,0.53,0.48,0.49,82.5,,,,,FRA-JH-016,2,DA83F9E5E621,330,258,233.9,2026-04-12,NRLM
FRA-0013676,Jharkhand,Lohardaga,FRA-JH-016-Village-11,23.062542,86.142712,GEO-0013676,Individual,IFR,2026-01-17,Title Issued,2026-09-04,Approved,2026-03-07,2026-03-31,2026-08-07,2026-08-14,,Recommended,Recommended,0,,Government map; Revenue record; Physical boundary markers,,Allowed,2026-02-13,1.96,1.97,1.86,18.8,,,,,FRA-JH-016,1,7D55C8D3B737,537,485,826.6,2026-09-04,
FRA-0013677,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.68646,86.225559,GEO-0013677,Community,Minor Forest Produce,2024-08-13,SDLC,2026-08-19,Pending,2024-10-22,2025-02-26,,,Awaiting DLC decision,Recommended,Recommended,0,,Legacy residence/cultivation record; Satellite imagery; Government map,,Not Applicable,,273.26,275.65,247.17,76.3,,,,,FRA-JH-016,1,8ADC8C540C4B,465,404,479.6,,
FRA-0013678,Jharkhand,Lohardaga,FRA-JH-016-Village-08,22.905734,86.064767,GEO-0013678,Individual,IFR,2026-08-01,DLC Decision,2026-09-04,Rejected,2026-08-07,2026-08-15,2026-08-24,2026-08-28,,Recommended,Pending,0,,Gram Sabha testimony,Claim area could not be verified,Not Appealed,,2.4,2.36,2.45,79.8,,,,,FRA-JH-016,4,D9311D5A32BB,432,149,798.1,,
FRA-0013679,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.560223,86.437486,GEO-0013679,Individual,IFR,2021-01-15,Field Verification,2026-06-08,Pending,2021-04-02,2021-07-16,,,Land record reconciliation,Not Recommended,Needs Review,1,Land-record reconciliation,Government map,,Not Applicable,,2.63,2.56,2.59,96.8,,,,,FRA-JH-016,1,C738FF1753EA,330,258,233.9,,
FRA-0013680,Jharkhand,Lohardaga,FRA-JH-016-Village-06,22.688024,86.221941,GEO-0013680,Individual,IFR,2025-10-25,DLC,2026-08-13,Pending,2025-11-21,2026-02-27,,,Awaiting DLC decision,Recommended,Needs Review,0,,Legacy residence/cultivation record; Satellite imagery,,Not Applicable,,2.67,2.68,2.69,24.1,,,,,FRA-JH-016,1,0918FB2F4160,465,404,479.6,,
FRA-0013681,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.625529,86.353717,GEO-0013681,Individual,IFR,2022-07-21,Title Issued,2022-12-08,Approved,2022-08-30,2022-09-29,2022-10-27,2022-11-21,,Recommended,Recommended,0,,Satellite imagery; Legacy residence/cultivation record,,Not Applicable,,2.62,2.93,4.34,86.4,,,,,FRA-JH-016,4,BEF8E26628B6,614,208,532.2,2023-03-19,MGNREGA; PDS convergence; Tribal Livelihood Support
FRA-0013682,Jharkhand,Lohardaga,FRA-JH-016-Village-04,22.574815,86.396995,GEO-0013682,Individual,IFR,2023-09-30,Title Issued,2024-08-05,Approved,2023-12-23,2024-04-01,2024-07-01,2024-07-16,,Recommended,Recommended,0,,Revenue record; Legacy residence/cultivation record; Satellite imagery,,Not Applicable,,2.19,3.53,2.33,85.3,,,,,FRA-JH-016,4,FEDE81B45108,239,214,918.6,2024-10-16,NRLM; Tribal Livelihood Support
FRA-0013683,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.616443,86.354438,GEO-0013683,Individual,IFR,2022-03-17,DLC Decision,2023-03-10,Rejected,2022-05-01,2022-09-15,2023-02-28,2023-03-08,,Recommended,Recommended,3,Procedural correction,Legacy residence/cultivation record,Procedural deficiency,Not Appealed,,1.1,1.16,1.09,95.4,,,,,FRA-JH-016,4,53F1E430F4D8,614,208,532.2,,
FRA-0013684,Jharkhand,Lohardaga,FRA-JH-016-Village-05,22.563701,86.145968,GEO-0013684,Community,Community Forest Resource,2025-06-10,DLC Decision,2026-02-23,Rejected,2025-06-22,2025-10-14,2026-01-09,2026-01-31,,Needs Review,Needs Review,1,Additional evidence requested,Revenue record; Satellite imagery; Forest record,Eligibility period not established,Disposed - Rejection Upheld,2026-04-06,252.98,230.52,267.66,79.1,,,Yes,2025-06-29,FRA-JH-016,1,F15A57AF90FC,923,799,659.5,,
FRA-0013685,Jharkhand,Lohardaga,FRA-JH-016-Village-07,22.570045,86.449738,GEO-0013685,Individual,IFR,2025-03-22,Title Issued,2025-09-18,Approved,2025-05-07,2025-06-10,2025-08-08,2025-08-23,,Recommended,Recommended,0,,Satellite imagery; Legacy residence/cultivation record,,Not Applicable,,0.84,0.8,0.87,82.6,,,,,FRA-JH-016,1,5FA0C468ECA4,330,258,233.9,2025-10-03,PMAY-G
FRA-0013686,Jharkhand,Lohardaga,FRA-JH-016-Village-02,22.61566,86.352525,GEO-0013686,Individual,IFR,2023-10-16,Title Issued,2024-05-13,Approved,2023-12-02,2024-01-04,2024-03-29,2024-04-17,,Recommended,Not Recommended,0,,Gram Sabha testimony; Community testimony; Physical boundary markers,,Not Applicable,,1.69,1.71,1.8,86.1,,,,,FRA-JH-016,1,2E6FD5294358,614,208,532.2,2024-06-16,
